descricao,ano,valor,nome_mes
Mercadoria P/ Revenda,2020,449213.55,janeiro
Mercadoria P/ Revenda,2020,234499.32,fevereiro
Mercadoria P/ Revenda,2020,190217.84,março
Mercadoria P/ Revenda,2020,115976.53,julho
Mercadoria P/ Revenda,2020,61749.32,junho
ICMS ANTECIPADO,2020,60407.04,fevereiro
ICMS ANTECIPADO,2020,45325.6,abril
ICMS,2020,33117.51,fevereiro
ICMS ANTECIPADO,2020,31312.28,janeiro
ICMS,2020,22944.23,abril
ICMS,2020,20891.62,janeiro
SALARIOS E COMISSOES,2020,20230.92,maio
Mercadoria P/ Revenda,2020,20051.78,maio
ICMS ANTECIPADO,2020,19781.43,março
ICMS ANTECIPADO,2020,19692.33,junho
ICMS ANTECIPADO,2020,19394.74,maio
SALARIOS E COMISSOES,2020,19209.3,julho
ICMS ANTECIPADO,2020,18363.37,julho
ALUGUEL,2020,17774.37,janeiro
ALUGUEL,2020,17774.37,março
SALARIOS E COMISSOES,2020,17682.9,janeiro
COFINS,2020,16567.69,janeiro
SALARIOS E COMISSOES,2020,16421,abril
ALUGUEL,2020,16257.75,julho
SALARIOS E COMISSOES,2020,15060.6,fevereiro
COFINS,2020,14782.03,julho
ALUGUEL,2020,14741.1,junho
SALARIOS E COMISSOES,2020,14718,março
ALUGUEL,2020,13982.79,abril
PRODUTIVIDADE,2020,13358.92,janeiro
PRODUTIVIDADE,2020,12782.82,julho
IMPOSTO DE RENDA,2020,11045.13,janeiro
IMPOSTOS E TAXAS DIVERSAS,2020,10506.99,abril
IMPOSTOS E TAXAS DIVERSAS,2020,10166.9,janeiro
ALUGUEL,2020,9957.24,maio
IMPOSTOS E TAXAS DIVERSAS,2020,8937.93,fevereiro
PRODUTIVIDADE,2020,8374.83,abril
IPTU,2020,8088.85,junho
IMPOSTOS E TAXAS DIVERSAS,2020,7995.01,julho
PRODUTIVIDADE,2020,7348.65,fevereiro
INSS NÃO PROVISIONADO,2020,7093.09,fevereiro
PROLABORES,2020,7000,março
INSS NÃO PROVISIONADO,2020,6838.66,janeiro
SALARIOS E COMISSOES,2020,6489,junho
LANCHES E REFEIÇOES,2020,6261.8,junho
IMPOSTO DE RENDA,2020,6095.55,abril
IMPOSTO DE RENDA,2020,5912.81,julho
AGUA E LUZ - LOJAS,2020,5463.19,fevereiro
IMPOSTO DE RENDA,2020,5084.39,fevereiro
PRODUTIVIDADE,2020,4655.62,maio
FUNDO DE GARANTIA (FGTS),2020,4631.95,julho
FERIAS,2020,4181.57,janeiro
LANCHES E REFEIÇOES,2020,3842.4,julho
PIS/PASEP,2020,3589.67,janeiro
LANCHES E REFEIÇOES,2020,3493,fevereiro
IMPOSTOS E TAXAS DIVERSAS,2020,3434.82,junho
VALE-TRANSPORTE,2020,3304.8,janeiro
PIS/PASEP,2020,3202.77,julho
FUNDO DE GARANTIA (FGTS),2020,2959.25,fevereiro
SERVICOS PRESTADOS - PJ,2020,2924.32,julho
AGUA E LUZ - LOJAS,2020,2872.24,janeiro
RESCISÃO DE CONTRATO,2020,2836.12,fevereiro
AGUA E LUZ - LOJAS,2020,2819.17,maio
SERVICOS PRESTADOS - PJ,2020,2811.44,fevereiro
PIS/PASEP,2020,2754.04,fevereiro
FERIAS,2020,2709.5,fevereiro
SERVICOS PRESTADOS - PJ,2020,2708.32,janeiro
SERVICOS PRESTADOS - PJ,2020,2708.32,abril
SERVICOS PRESTADOS - PJ,2020,2708.32,maio
SERVICOS PRESTADOS - PJ,2020,2708.32,junho
AGUA E LUZ - LOJAS,2020,2638.39,abril
DESPESA COM SEGURANÇA,2020,2631.12,janeiro
ASSISTENCIA MEDICA,2020,2455.04,abril
VALE-TRANSPORTE,2020,2448.4,fevereiro
FUNDO DE GARANTIA (FGTS),2020,2419.53,janeiro
LANCHES E REFEIÇOES,2020,2360,janeiro
VALE-TRANSPORTE,2020,2351.6,julho
AGUA E LUZ - LOJAS,2020,2245.83,março
INSS NÃO PROVISIONADO,2020,2150.28,abril
LANCHES E REFEIÇOES,2020,1855.3,março
FUNDO DE GARANTIA (FGTS),2020,1674.43,março
ADIANTAMENTO DE SALÁRIO/PRODUTIVIDADE,2020,1600,janeiro
VALE-TRANSPORTE,2020,1585.9,junho
Mercadoria P/ Revenda,2020,1579.96,abril
AGUA E LUZ - LOJAS,2020,1476.44,julho
VALE-TRANSPORTE,2020,1454.2,março
IMPOSTO DE RENDA,2020,1402.28,junho
INSS NÃO PROVISIONADO,2020,1394.85,maio
INSS NÃO PROVISIONADO,2020,1352.82,julho
SEGUROS DIVERSOS,2020,1303.07,fevereiro
OUTRAS DESPESAS,2020,1163.8,janeiro
DESPESA COM SEGURANÇA,2020,1138.78,julho
,2020,1093.62,março
DESPESA COM SEGURANÇA,2020,1011.12,maio
ADIANTAMENTO DE SALÁRIO/PRODUTIVIDADE,2020,970,março
IMPOSTOS E TAXAS DIVERSAS,2020,891.5,maio
INTERNET - LOJAS,2020,858.02,julho
OUTRAS DESPESAS - SÓCIO,2020,800,junho
OUTRAS DESPESAS,2020,793.3,julho
